      YRMODAY HRMN  SEC    LATITUDE   LONGITUDE   DEP,km  MAG   NO RMSRES    X,km     Y,km     Z, km      ID
  54 20110203 2359 51.194  39N47.628  119W00.553  -0.050  0.30  14  0.035    2.630    1.927   -0.050 110203235951   
  55 20110204 0012 22.801  39N47.717  119W00.661   0.054  0.46  13  0.018    2.476    2.091    0.054 110204001222   
  56 20110204 0014 25.131  39N47.635  119W00.843   0.272  0.64  11  0.036    2.215    1.940    0.272 110204001425   
  57 20110204 0128 36.179  39N47.648  119W00.680   0.251  0.33  12  0.034    2.448    1.965    0.251 110204012836   
  58 20110204 0434 54.856  39N48.028  119W00.522   0.737  0.46  12  0.046    2.674    2.667    0.737 110204043455   
  59 20110204 0538 56.574  39N48.341  119W00.156   0.963  1.09  15  0.043    3.196    3.247    0.963 110204053856   
  60 20110204 1904 22.561  39N48.189  119W00.240   0.911  0.16  15  0.026    3.076    2.966    0.911 110204190422   
  61 20110204 2005 50.612  39N48.137  119W00.289   1.166  1.35  14  0.031    3.007    2.869    1.166 110204200550   
  62 20110328 0211  9.178  39N47.678  119W00.700  -0.178  0.14  11  0.018    2.420    2.020   -0.178 110328021109   
  63 20120104 0328 35.449  39N47.557  119W00.730   0.243 -0.00   7  0.043    2.377    1.796    0.243  12010403283   
  64 20120402 0852 57.505  39N47.683  119W00.767   0.495  0.82  16  0.035    2.325    2.028    0.495 120402085257   
  65 20120402 0935 32.007  39N47.653  119W00.909   0.425 -0.00  13  0.021    2.122    1.973    0.425  12040209353   
  66 20120402 1015  8.357  39N47.659  119W00.917   0.256  0.32   9  0.026    2.110    1.984    0.256 120402101507   
  67 20120402 1019 32.935  39N47.683  119W00.906   0.307 -0.10  14  0.032    2.126    2.030    0.307  12040210193   
  68 20120402 1033 52.709  39N47.636  119W00.902   0.367  0.71  14  0.028    2.131    1.943    0.367 120402103352   
  69 20120402 1035  4.133  39N47.655  119W00.912   0.321  0.32  13  0.029    2.118    1.976    0.321 120402103504   
  70 20120402 1248 24.400  39N47.632  119W00.758  -0.044  0.43  12  0.029    2.337    1.935   -0.044 120402124824   
  71 20120402 1249  2.983  39N47.615  119W00.801   0.009  0.50  12  0.026    2.276    1.903    0.009 120402124902   
  72 20120402 1415  1.513  39N47.604  119W00.916  -0.041 -0.20  12  0.046    2.111    1.882   -0.041  12040214150   
  73 20120402 1641  4.191  39N47.623  119W00.766  -0.037 -0.60  10  0.026    2.326    1.918   -0.037  12040216410   
  74 20120404 0806 23.469  39N47.620  119W00.683   0.257 -0.30  11  0.037    2.444    1.913    0.257  12040408062   
  75 20130106 1244 12.023  39N47.641  119W00.733   0.158 -0.30   6  0.034    2.373    1.952    0.158  13010612441   
  76 20130106 1245  8.159  39N47.681  119W00.841   0.040  0.46  12  0.033    2.219    2.025    0.040 130106124508   
  77 20130118 1935 44.978  39N47.749  119W00.823   0.300  0.42  11  0.030    2.245    2.150    0.300 130118193544   
  78 20130118 1936 31.160  39N47.608  119W00.811  -0.079  0.63  17  0.032    2.262    1.890   -0.079 130118193631   
  79 20130118 1943 52.116  39N47.595  119W00.786  -0.128  0.07   8  0.024    2.297    1.865   -0.128 130118194352   
  80 20130118 1945 36.555  39N47.687  119W00.824   0.140  0.24  10  0.025    2.243    2.037    0.140 130118194536   
  81 20130118 1946 21.120  39N47.668  119W00.805   0.222  0.60  13  0.024    2.270    2.001    0.222 130118194621   
  82 20130118 1958 49.245  39N47.644  119W00.769   0.048 -0.60   6  0.017    2.321    1.957    0.048  13011819584   
  83 20130118 2002 58.988  39N47.674  119W00.858   0.268  0.43  14  0.032    2.194    2.012    0.268 130118200258   
  84 20130118 2007 48.466  39N47.721  119W00.890   0.538  0.42   9  0.025    2.149    2.099    0.538 130118200748   
  85 20130118 2022 36.431  39N47.656  119W00.792  -0.063  0.41  11  0.020    2.288    1.978   -0.063 130118202236   
  86 20130118 2041 10.640  39N47.641  119W00.560   0.660  0.71  15  0.041    2.620    1.952    0.660 130118204110   
  87 20130118 2046 13.518  39N47.695  119W00.737  -0.051 -0.10  12  0.017    2.367    2.051   -0.051  13011820461   
  88 20130118 2106 11.438  39N47.653  119W00.792   0.330  0.86  15  0.023    2.289    1.974    0.330 130118210611   
  89 20130118 2120 25.597  39N47.693  119W00.730  -0.337 -0.10  10  0.024    2.377    2.046   -0.337  13011821202   
  90 20130118 2126 25.857  39N47.601  119W00.841   0.221  0.57   8  0.019    2.219    1.877    0.221 130118212625   
  91 20130118 2137 10.634  39N47.710  119W00.785   0.276  0.41  13  0.042    2.299    2.079    0.276 130118213710   
  92 20130118 2141 42.344  39N47.713  119W00.791   0.010  0.21  10  0.019    2.291    2.084    0.010 130118214142   
  93 20130118 2201 38.604  39N47.681  119W00.806   0.275  0.24   8  0.023    2.269    2.025    0.275 130118220138   
  94 20130118 2220 55.067  39N47.781  119W00.780   0.307  0.06   9  0.032    2.306    2.210    0.307 130118222055   
  95 20130118 2252 14.794  39N47.552  119W00.902   0.003  0.30  11  0.021    2.132    1.786    0.003 130118225214   
  96 20130118 2255 28.304  39N47.574  119W00.855  -0.035  0.69  15  0.023    2.199    1.826   -0.035 130118225528   
  97 20130119 0122 33.299  39N47.615  119W00.860   0.198  0.82  15  0.026    2.191    1.904    0.198 130119012233   
  98 20130119 0138 16.919  39N47.582  119W00.860   0.275  0.98  17  0.022    2.192    1.842    0.275 130119013816   
  99 20130119 0238 27.714  39N47.704  119W00.768  -0.126 -0.10   6  0.023    2.322    2.068   -0.126  13011902382   
 100 20130119 0303 28.898  39N47.844  119W00.691   0.422  0.47  15  0.031    2.433    2.327    0.422 130119030328   
 101 20130119 1118 12.229  39N47.879  119W00.749   0.487  0.36  11  0.034    2.350    2.392    0.487 130119111812   
 102 20130408 0735 39.352  39N47.734  119W00.773   0.270 -0.00  16  0.014    2.316    2.122    0.270  13040807353   
 103 20130408 0858 41.641  39N47.711  119W00.670   0.035  0.21  12  0.023    2.463    2.080    0.035 130408085841   
 104 20130408 1012 18.538  39N47.635  119W00.750   0.283  0.18  13  0.021    2.348    1.941    0.283 130408101218   
 105 20130408 1132 45.675  39N47.609  119W00.817  -0.003  0.65  20  0.018    2.252    1.892   -0.003 130408113245   
 106 20130408 1353 24.860  39N47.681  119W00.714   0.026  0.97  18  0.016    2.400    2.024    0.026 130408135324   
 107 20130408 1604 55.043  39N47.610  119W00.785  -0.031  0.14  16  0.024    2.299    1.894   -0.031 130408160455   
 108 20130408 1916  9.330  39N47.620  119W00.852   0.183  0.52  16  0.023    2.204    1.913    0.183 130408191609   
 109 20130408 2147 41.012  39N47.532  119W00.872  -0.167  0.45   6  0.040    2.174    1.750   -0.167 130408214740   
 110 20130409 0139  3.083  39N47.542  119W00.896   0.120  0.85  19  0.032    2.141    1.767    0.120 130409013902   
 111 20130409 0147 35.239  39N47.512  119W00.874   0.036  0.75  17  0.023    2.172    1.712    0.036 130409014735   
 112 20130409 0148 53.417  39N47.511  119W00.897   0.146  0.55  20  0.024    2.138    1.711    0.146 130409014853   
 113 20130409 0352 22.576  39N47.636  119W00.768   0.111  0.07   8  0.030    2.324    1.941    0.111 130409035222   
 114 20130409 0429  8.073  39N47.711  119W00.777  -0.010 -0.40   6  0.023    2.310    2.081   -0.010  13040904290   
 115 20130409 0508  2.861  39N47.703  119W00.725   0.340 -0.40  12  0.033    2.384    2.065    0.340  13040905080   
 116 20130409 0559 52.075  39N47.607  119W00.867   0.373  0.95  16  0.034    2.181    1.889    0.373 130409055951   
 117 20130409 1852 52.502  39N47.628  119W00.852   0.143  0.37  11  0.020    2.203    1.926    0.143 130409185252   
 118 20130410 0601 43.548  39N47.684  119W00.738   0.022  0.22  11  0.019    2.366    2.031    0.022 130410060143   
 119 20130410 1051 29.426  39N47.690  119W00.806   0.059  0.06  18  0.019    2.269    2.042    0.059 130410105129   
