      YRMODAY HRMN  SEC    LATITUDE   LONGITUDE   DEP,km  MAG   NO RMSRES    X,km     Y,km     Z, km      ID
 235 20140408 1126 57.441  39N47.575  119W00.930   0.093 -0.50   6  0.008    2.091    1.830    0.093  14040811265   
 236 20140408 1151 14.562  39N47.599  119W00.833  -0.110 -0.00   8  0.019    2.230    1.873   -0.110  14040811511   
 237 20140408 1912 11.907  39N48.900  119W00.617   1.294  1.00  14  0.020    2.538    4.281    1.294 140408191212   
 238 20140408 2108 38.871  39N48.651  119W00.658   1.051  0.79   8  0.018    2.480    3.821    1.051 140408210839   
 239 20140409 0101 58.207  39N47.605  119W00.890   0.199 -0.10  12  0.015    2.149    1.885    0.199  14040901015   
 240 20140409 0152 34.699  39N47.850  119W00.816   0.358  0.51  13  0.018    2.254    2.338    0.358 140409015234   
 241 20140409 0200  9.429  39N47.818  119W00.579   0.151  0.22   9  0.014    2.593    2.279    0.151 140409020009   
 242 20140409 0200 33.051  39N47.857  119W00.624   0.213  0.13  16  0.019    2.528    2.351    0.213 140409020033   
 243 20140409 0203 59.889  39N47.776  119W00.915   0.707  0.40   9  0.018    2.113    2.200    0.707 140409020359   
 244 20140409 0220 47.481  39N47.630  119W00.784  -0.102  0.10   5  0.009    2.300    1.930   -0.102 140409022047   
 245 20140409 0533  8.830  39N47.715  119W00.966   1.162  0.40   9  0.016    2.039    2.089    1.162 140409053308   
 246 20140409 0600 47.122  39N48.074  119W00.600   0.770  0.50  18  0.019    2.563    2.752    0.770 140409060047   
 247 20140409 0645 45.915  39N47.608  119W00.966   0.438  0.34   8  0.015    2.040    1.890    0.438 140409064545   
 248 20140409 0717  6.970  39N48.357  119W00.524   0.988  0.88  16  0.022    2.671    3.276    0.988 140409071706   
 249 20140409 0828 31.910  39N48.138  119W00.542   0.695  0.10   8  0.017    2.645    2.870    0.695 140409082831   
 250 20140409 1037 11.668  39N48.131  119W00.545   0.738  0.28  12  0.016    2.641    2.858    0.738 140409103711   
 251 20140409 1350 18.969  39N47.752  119W00.927   1.127  0.09  11  0.015    2.096    2.156    1.127 140409135018   
 252 20140409 1644 20.892  39N48.209  119W00.638   0.933  0.55  10  0.016    2.508    3.003    0.933 140409164420   
 253 20140606 1248 35.115  39N47.760  119W00.777   0.187 -0.00   8  0.015    2.310    2.172    0.187  14060612483   
 254 20140606 1255 21.046  39N47.709  119W00.698   0.146 -0.20   6  0.014    2.423    2.077    0.146  14060612552   
 255 20140606 1318 14.177  39N47.736  119W00.749  -0.018 -0.10   7  0.011    2.350    2.128   -0.018  14060613181   
 256 20140606 1349  4.059  39N47.810  119W00.870   0.359  0.60  13  0.021    2.178    2.263    0.359 140606134904   
 257 20140607 1731 46.442  39N48.143  119W00.367   0.197  0.16   9  0.017    2.895    2.881    0.197 140607173146   
 258 20140610 1456  6.768  39N47.572  119W00.856   0.081  0.15   5  0.013    2.196    1.824    0.081 140610145606   
 259 20140610 1913 18.778  39N47.849  119W00.576   0.056  0.18   5  0.018    2.597    2.336    0.056 140610191318   
 260 20140613 2005  4.563  39N47.465  119W00.739   0.159 -0.10  12  0.021    2.364    1.624    0.159  14061320050   
 261 20150323 0935 44.121  39N47.799  119W00.573   0.417 -0.60   8  0.029    2.601    2.243    0.417  15032309354   
 262 20150323 0936  1.263  39N47.822  119W00.908   0.731  0.08  14  0.025    2.124    2.285    0.731 150323093601   
 263 20150323 0939 51.409  39N47.663  119W00.972   0.182 -0.50   9  0.031    2.032    1.992    0.182  15032309395   
 264 20150323 0941  9.418  39N47.765  119W00.741   0.386  0.19  15  0.021    2.361    2.180    0.386 150323094109   
 265 20150323 0949 18.963  39N47.633  119W00.801   0.020  0.68  16  0.020    2.276    1.936    0.020 150323094918   
 266 20150323 0949 25.152  39N47.613  119W00.831  -0.103  0.09   7  0.010    2.233    1.899   -0.103 150323094925   
 267 20150323 1032 56.593  39N47.535  119W00.594   0.305 -0.30  14  0.024    2.572    1.755    0.305  15032310325   
 268 20150323 1034 10.019  39N47.538  119W00.774  -0.016  0.22  11  0.022    2.315    1.760   -0.016 150323103409   
 269 20150323 1037 22.863  39N47.710  119W00.765  -0.061 -0.40   9  0.020    2.327    2.079   -0.061  15032310372   
 270 20150323 1043 36.496  39N47.527  119W00.938  -0.092 -0.10  12  0.015    2.079    1.740   -0.092  15032310433   
 271 20150323 1045 13.723  39N47.799  119W00.686   0.233 -0.00  17  0.019    2.440    2.243    0.233  15032310451   
 272 20150323 1100 47.948  39N47.750  119W00.707   0.168  0.16  15  0.025    2.411    2.152    0.168 150323110047   
 273 20150323 1104 18.220  39N47.636  119W01.027   0.088 -0.70   7  0.008    1.954    1.941    0.088  15032311041   
 274 20150323 1110 22.502  39N47.720  119W00.691   0.236  0.48  16  0.027    2.433    2.097    0.236 150323111022   
 275 20150323 1119 27.438  39N47.956  119W00.865   0.658 -0.30  11  0.020    2.185    2.534    0.658  15032311192   
 276 20150323 1123 10.883  39N47.747  119W00.754  -0.061 -0.40   9  0.029    2.342    2.148   -0.061  15032311231   
 277 20150323 1129 19.346  39N47.621  119W00.785  -0.076 -0.50   9  0.017    2.299    1.914   -0.076  15032311291   
 278 20150323 1129 24.885  39N47.591  119W00.793  -0.169  0.00  13  0.020    2.286    1.858   -0.169 150323112924   
 279 20150323 1134 43.606  39N47.822  119W00.584   0.124  0.24  15  0.026    2.585    2.285    0.124 150323113443   
 280 20150323 1141 11.106  39N47.741  119W00.821   0.071 -0.60   7  0.014    2.248    2.136    0.071  15032311411   
 281 20150323 1141 58.224  39N47.671  119W00.998   0.363 -0.40   9  0.014    1.995    2.006    0.363  15032311415   
 282 20150323 1149  9.125  39N47.561  119W00.897  -0.046  0.71  17  0.023    2.139    1.803   -0.046 150323114909   
 283 20150323 1152  6.769  39N47.936  119W00.861   0.512 -0.10   8  0.013    2.190    2.497    0.512  15032311520   
 284 20150323 1201 28.545  39N47.655  119W00.799  -0.447 -0.30   8  0.012    2.278    1.976   -0.447  15032312012   
 285 20150323 1217 40.483  39N47.643  119W00.786  -0.310 -0.60  11  0.015    2.297    1.954   -0.310  15032312174   
 286 20150323 1256 16.986  39N47.542  119W00.947  -0.192  0.02  14  0.019    2.067    1.768   -0.192 150323125616   
 287 20150323 1307  8.466  39N47.693  119W00.777  -0.463 -0.50   7  0.013    2.310    2.048   -0.463  15032313070   
 288 20150323 1316 27.842  39N47.534  119W00.976   0.473 -0.30  12  0.025    2.027    1.754    0.473  15032313162   
 289 20150323 1322 48.564  39N47.678  119W00.988   0.354 -0.30  13  0.020    2.009    2.019    0.354  15032313224   
 290 20150323 1404 56.651  39N47.565  119W00.995  -0.408 -0.20   6  0.025    2.000    1.810   -0.408  15032314045   
 291 20150323 1417 38.996  39N47.676  119W00.734  -0.322 -0.40   9  0.018    2.372    2.015   -0.322  15032314173   
 292 20150323 1424 27.961  39N48.421  119W00.697   0.918  0.72  16  0.024    2.424    3.395    0.918 150323142428   
 293 20150323 1430 45.430  39N47.927  119W00.869   0.377 -0.10  10  0.015    2.178    2.481    0.377  15032314304   
 294 20150323 1524  5.150  39N47.797  119W00.857   0.634  0.60  16  0.018    2.196    2.240    0.634 150323152405   
 295 20150323 1628 15.350  39N47.785  119W00.703   0.361  0.80  17  0.014    2.415    2.217    0.361 150323162815   
 296 20150323 1635 33.736  39N47.852  119W00.679   0.186 -0.30   9  0.017    2.451    2.341    0.186  15032316353   
 297 20150323 1704 38.430  39N47.696  119W00.772  -0.201 -0.70   7  0.019    2.317    2.053   -0.201  15032317043   
 298 20150323 1736 14.002  39N47.785  119W00.745   0.623  0.82  14  0.019    2.356    2.218    0.623 150323173613   
 299 20150323 1752 28.798  39N47.874  119W00.778   0.469  1.49  17  0.018    2.308    2.381    0.469 150323175228   
 300 20150323 1816 14.529  39N47.755  119W00.976   0.444  0.42  13  0.015    2.025    2.161    0.444 150323181614   
 301 20150323 1829 34.007  39N47.752  119W00.934   0.535  0.50  16  0.019    2.086    2.156    0.535 150323182934   
 302 20150323 1834 56.827  39N47.744  119W00.897   0.420  0.48  12  0.016    2.138    2.141    0.420 150323183456   
 303 20150323 1921 48.494  39N47.642  119W01.026   0.416  0.21  13  0.027    1.954    1.953    0.416 150323192148   
 304 20150323 1929 35.763  39N47.777  119W00.920   0.293  0.24  11  0.023    2.105    2.202    0.293 150323192935   
 305 20150323 1936 11.676  39N47.888  119W00.542   0.156  0.53  13  0.025    2.646    2.408    0.156 150323193611   
 306 20150323 1936 14.992  39N47.799  119W00.616  -0.119  0.42   8  0.017    2.540    2.244   -0.119 150323193616   
 307 20150323 1941 38.462  39N47.621  119W00.838  -0.232  0.24   6  0.010    2.223    1.915   -0.232 150323194138   
 308 20150323 2023 35.586  39N47.552  119W00.827  -0.386  0.14  13  0.014    2.239    1.786   -0.386 150323202335   
 309 20150323 2102  3.546  39N47.669  119W00.770  -0.179  0.20   5  0.008    2.321    2.003   -0.179 150323210203   
 310 20150323 2122 27.877  39N47.556  119W00.982  -0.094 -0.40  13  0.015    2.017    1.793   -0.094  15032321222   
 311 20150323 2154 42.002  39N47.599  119W00.879   0.255  0.52  17  0.016    2.165    1.874    0.255 150323215441   
 312 20150323 2209 26.987  39N47.587  119W00.807  -0.250  0.05  12  0.014    2.267    1.852   -0.250 150323220926   
 313 20150323 2246 39.196  39N47.605  119W00.816  -0.089  0.40  15  0.014    2.255    1.885   -0.089 150323224639   
 314 20150324 0040 46.625  39N47.692  119W00.788  -0.158 -0.00  10  0.016    2.294    2.045   -0.158  15032400404   
 315 20150324 0115  6.930  39N47.516  119W00.880   0.312  1.28  18  0.019    2.163    1.719    0.312 150324011506   
 316 20150324 0116 39.566  39N47.509  119W00.884   0.337  1.16  17  0.018    2.157    1.707    0.337 150324011639   
 317 20150324 0152 52.289  39N47.562  119W00.901   0.228  0.59  18  0.024    2.133    1.806    0.228 150324015252   
 318 20150324 0154  3.753  39N47.583  119W00.939   0.179  0.45  14  0.018    2.079    1.844    0.179 150324015403   
 319 20150324 0205 30.534  39N47.531  119W00.841   0.161  0.14  14  0.025    2.218    1.747    0.161 150324020530   
 320 20150324 0358  5.315  39N47.649  119W00.780   0.225  0.14  12  0.016    2.306    1.965    0.225 150324035805   
 321 20150324 0455 17.502  39N47.755  119W00.878   0.775  0.25  11  0.017    2.165    2.163    0.775 150324045517   
 322 20150324 0459 27.998  39N47.948  119W00.863   0.634  0.42  10  0.011    2.188    2.519    0.634 150324045927   
 323 20150324 0526 45.700  39N47.951  119W00.878   0.669  0.72  16  0.020    2.166    2.525    0.669 150324052645   
 324 20150324 0555 19.508  39N47.976  119W00.937   0.757  0.21  11  0.017    2.082    2.570    0.757 150324055519   
 325 20150324 0556 52.536  39N47.953  119W00.934   0.725  0.95  17  0.015    2.086    2.529    0.725 150324055652   
 326 20150324 0614 21.230  39N47.935  119W00.861   0.610  0.38  13  0.015    2.190    2.496    0.610 150324061421   
 327 20150324 0647 53.138  39N47.944  119W00.942   0.794  1.56  17  0.020    2.075    2.511    0.794 150324064753   
 328 20150324 0648  4.561  39N47.945  119W00.889   0.665  1.18  16  0.017    2.150    2.514    0.665 150324064804   
 329 20150324 0708 55.156  39N47.767  119W00.716  -0.005 -0.50   7  0.011    2.397    2.184   -0.005  15032407085   
 330 20150324 0742  3.960  39N47.996  119W00.919   0.802  1.58  18  0.021    2.107    2.608    0.802 150324074203   
 331 20150324 0748 16.032  39N48.039  119W00.434   0.537  0.06   9  0.033    2.799    2.687    0.537 150324074815   
 332 20150324 0754  9.934  39N47.701  119W00.861   0.205 -0.00  16  0.021    2.190    2.063    0.205  15032407540   
 333 20150324 0852  2.430  39N47.553  119W00.786  -0.377 -0.30  14  0.020    2.298    1.788   -0.377  15032408520   
 334 20150324 0853 10.987  39N47.829  119W00.595   0.656 -0.30  11  0.024    2.569    2.300    0.656  15032408531   
 335 20150324 0923 13.313  39N48.092  119W00.700   0.777  0.55  15  0.019    2.419    2.785    0.777 150324092313   
 336 20150324 1054 36.792  39N47.555  119W00.988   0.223 -0.00   9  0.019    2.009    1.792    0.223  15032410543   
 337 20150324 1111 43.003  39N47.701  119W00.938   0.387  0.20   5  0.012    2.080    2.062    0.387 150324111142   
 338 20150324 1434  7.484  39N47.683  119W00.801  -0.134 -0.00   8  0.015    2.276    2.029   -0.134  15032414340   
 339 20150324 1437 47.413  39N47.749  119W00.742   0.041 -0.00   6  0.012    2.360    2.151    0.041  15032414374   
 340 20150324 1441  3.303  39N48.538  119W00.472   1.078  1.28  15  0.021    2.746    3.612    1.078 150324144103   
 341 20150324 1702 51.832  39N47.967  119W00.470   0.358  1.58  17  0.025    2.749    2.555    0.358 150324170251   
 342 20150324 1729 52.003  39N47.932  119W00.526   0.142  0.26   9  0.025    2.668    2.489    0.142 150324172951   
 343 20150324 1740  4.658  39N47.907  119W00.413   0.234  0.33  11  0.011    2.830    2.443    0.234 150324174004   
 344 20150324 1750 32.619  39N47.777  119W00.875   0.493  0.11   8  0.010    2.171    2.202    0.493 150324175032   
 345 20150324 1820 38.536  39N48.027  119W00.872   0.510  0.45   9  0.011    2.174    2.666    0.510 150324182038   
 346 20150324 1835  7.362  39N47.784  119W00.889   0.626  1.50  17  0.020    2.151    2.216    0.626 150324183507   
 347 20150324 1906 47.555  39N47.790  119W00.901   0.419  0.96  15  0.014    2.133    2.226    0.419 150324190647   
