DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2016/03/14 06:47:46.45,39.79377,-119.01800,-0.106,-0.17,ML,0,0,0,0.04,LBL,2201048
2016/03/14 08:36:26.61,39.79442,-119.02161,-0.426,-0.48,ML,0,0,0,0.06,LBL,2201049
2016/03/14 08:39:05.23,39.79350,-119.01717,-0.106,0.07,ML,0,0,0,0.06,LBL,2201050
2016/03/14 12:11:34.92,39.79328,-119.01897,-0.119,0.05,ML,0,0,0,0.06,LBL,2201051
2016/03/16 22:03:10.24,39.79222,-119.01427,-0.424,-0.29,ML,0,0,0,0.06,LBL,2201052
2016/06/17 00:34:52.23,39.85725,-119.07287,5.000,1.53,ML,0,0,0,0.03,LBL,2201053
